KEGG,Day-0_UP,Day-1.DR_UP,Day-3.DR_UP,Day-4.DR_UP,Day-1.WTR_UP,Day-3.WTR_UP,Day-4.WTR_UP
10,0.986805486,0.417258992,0.006833294,0.006492316,1,0.801776921,0.052066659
20,0.629370063,0.358279079,0.357276872,0.151149394,1,1,1
30,1,0.726074953,0.177509484,0.028276453,0.867369286,1,0.141056779
40,1.76386E-05,1.89053E-05,0.165929924,0.987246154,0.000296418,0.206251953,1.59962E-06
51,1,0.443447522,0.24232937,0.087546826,1,1,0.012613518
52,0.01745154,0.000132134,0.000804968,6.06213E-05,0.463912811,0.396037897,0.000186224
53,0.363386415,0.416436509,0.943168395,0.21541961,0.674926066,0.352948794,1
61,0.980813056,1,0.988996104,0.995199866,0.598093815,1,1
62,0.990159699,1,0.999942995,0.999846271,0.681985932,1,1
71,1,1,1,1,1,1,1
72,1,1,1,0.423352718,1,1,1
73,0.035490199,0.002767373,0.333120848,0.854022464,0.082068462,0.060300057,0.68503035
100,1,1,1,1,1,1,1
130,0.812305312,1,0.127356024,0.8221775,1,1,0.580992496
140,1,1,1,1,1,1,1
190,0.376955962,0.005067331,0.331837153,0.226033316,0.017720364,0.560433701,4.33125E-05
195,1,0.22940926,0.42423733,0.098022131,1,1,0.041726569
220,0.278171653,0.343177438,0.183378845,0.002151382,1,1,1
230,1,0.997389434,0.998208687,0.841938592,0.944368361,0.834713726,0.840906811
232,1,1,1,1,1,1,1
240,1,1,1,0.944378362,0.87552584,1,0.342515967
250,0.288568895,0.26749629,0.004165454,0.031316758,0.759669794,0.1031873,1
254,1,1,0.335257305,1,1,1,1
260,0.014528974,0.018880625,0.015601359,0.394278156,1,0.478029771,0.500907043
261,1,0.427201893,0.028122553,0.469424008,1,0.155197265,0.35609069
270,0.534417752,1,0.359809349,0.310145581,0.695970247,0.756479138,0.289696782
280,0.081867862,0.0230816,0.674627812,0.373783391,0.576942696,1,1
281,1,1,1,1,1,1,1
290,1,1,0.835126581,0.007385532,1,1,0.553605614
300,0.326778462,0.180271874,0.010038201,0.175501133,0.122034111,0.210488745,0.124262594
310,0.077774191,0.028031153,0.016721757,0.117242994,1,0.183297425,1
330,0.001550998,0.104301685,0.065737807,0.01468203,0.001863211,0.04632915,0.596619909
332,0.000252718,7.36544E-05,0.002181251,1.01354E-06,3.53193E-05,1,0.07254531
340,1,1,0.824249866,0.193893274,1,1,1
350,0.492937056,0.66750188,0.674627812,0.958341522,0.576942696,1,1
360,0.905241828,1,0.868166757,0.988630715,1,1,1
362,1,1,1,1,1,1,1
380,0.135797285,0.041566541,0.053348142,0.167241987,0.645057184,1,1
400,0.126169687,0.392717597,0.173994767,0.026437738,1,1,1
401,1,1,0.151587481,0.473955133,1,1,1
405,1,1,1,1,1,1,1
410,0.798076571,1,0.966046128,1,1,0.272914666,1
430,1,1,0.391563044,1,1,0.121932106,1
450,1,1,0.060592645,0.861518468,1,1,1
460,1,1,0.03326831,1,1,1,1
471,1,1,1,0.058495568,1,1,1
473,1,1,1,1,1,1,1
480,0.895674713,1,0.963223361,0.929264497,1,1,0.936973133
500,5.71734E-06,0.001138709,0.004819463,0.028128617,8.04584E-06,1.01028E-05,0.024944824
510,1,1,0.702495023,0.840030321,1,1,1
511,0.502323925,0.833489697,0.193223184,0.38726508,0.159868122,1,0.75736404
513,1,1,0.863998041,0.833474108,1,1,1
